通しNo,目録データファイル名,目録データプロパティ,パス,説明,サンプルデータ,クラスマッピングNo.,MADBマッピング（クラス）,MADBマッピング（原データ：プロパティ名）,加工仕様,加工後サンプルデータ,注記,入力日,入力者,更新日
200,ndlitem2309.csv,bibResources,-,[個別資料のパッケージ],http://iss.ndl.go.jp/books/R100000002-I031510345-00#material,6,ゲーム個別資料,,,,,,福田,
201,ndlitem2309.csv,seeAlso,-,[NDLオンラインの当該リソースへのリンク],http://id.ndl.go.jp/bib/031510345,6,ゲーム個別資料,所蔵DBリンク,,,,,福田,
202,ndlitem2309.csv,localCallNumber,-,"当該情報資源を保有する所蔵館におけるローカル請求記号を収め
る。",,6,ゲーム個別資料,,,,,,福田,
203,ndlitem2309.csv,holdingAgent_name,-,当該情報資源を保有する所蔵館名をここに収める。,国立国会図書館,6,ゲーム個別資料,,,,,,福田,
204,ndlitem2309.csv,holdingAgent_identifier,-,[所蔵館ID],0,6,ゲーム個別資料,,,,,,福田,
205,ndlitem2309.csv,callNumber,-,当該情報資源を保有する所蔵館における正請求記号をここに収める。,YH259-M548,6,ゲーム個別資料,保管場所,,,,,福田,
206,ndlitem2309.csv,identifier,-,各種識別子をここに収める。,31510345,6,ゲーム個別資料,,,,,,福田,
207,,N/A,,,,6,ゲーム個別資料,管理者,"""C46762""を記録する",,https://mediaarts-db.bunka.go.jp/id/C46762,,福田,
208,,N/A,,,,6,ゲーム個別資料,保管者,"""C46762""を記録する",,https://mediaarts-db.bunka.go.jp/id/C46762,,福田,
209,,N/A,,,,6,ゲーム個別資料,サブタイプ,"""gm""を記録する",,,,福田,
210,,N/A,,,,6,ゲーム個別資料,タイプ,"""GameItem""を記録",,適切な入力文字列を要確認,,福田,
211,rcgs_variation_sparql_2309.csv,s,-,,https://collection.rcgs.jp/resource/VARIATION0000001,7,ゲームバリエーション,メモ,"""https://collection.rcgs.jp/resource/""を削除",VARIATION0000001,IDを記録する,,福田,
212,rcgs_variation_sparql_2309.csv,type,-,,https://collection.rcgs.jp/terms/Variation,7,ゲームバリエーション,タイプ,"""https://collection.rcgs.jp/terms/Variation""を""GameVariation""に置換",GameVariation,,,福田,
213,rcgs_variation_sparql_2309.csv,label,-,リソースの文字列構造化もしくは符号化による識別のための名称,ドンキーコング (1981). jpn. ファミリーコンピュータ,7,ゲームバリエーション,タイトル,,,,,福田,
214,rcgs_variation_sparql_2309.csv,color,-,リソースの内容における色や色調,http://rdaregistry.info/termList/RDAColourContent/1003,7,ゲームバリエーション,色彩,,,,,福田,
215,rcgs_variation_sparql_2309.csv,audio,-,リソースの内容における音声の有無,http://rdaregistry.info/termList/soundCont/1001,7,ゲームバリエーション,音声,,,,,福田,
216,rcgs_variation_sparql_2309.csv,language,-,リソースの内容の言語,http://id.loc.gov/vocabulary/iso639-2/jpn,7,ゲームバリエーション,言語,"""http://id.loc.gov/vocabulary/iso639-2/"" を削除",jpn,,,福田,
217,rcgs_variation_sparql_2309.csv,date,-,リソースに関連する日付,1983,7,ゲームバリエーション,公開年月日,,,,,福田,
218,rcgs_variation_sparql_2309.csv,gamePlatform,-,リソースをプレイするためのゲームプラットフォーム,ファミリーコンピュータ,7,ゲームバリエーション,ゲームプラットフォーム,,,,,福田,
219,rcgs_variation_sparql_2309.csv,aspectRatio,-,リソースの動画の幅と高さの数値の比率,http://rdaregistry.info/termList/AspectRatio/1001,7,ゲームバリエーション,アスペクト比,,,,,福田,
220,rcgs_variation_sparql_2309.csv,middlewareOrGameEngine,-,リソースの制作に用いられたミドルウェアもしくはゲームエンジン,,7,ゲームバリエーション,ミドルウェア・ゲームエンジン,,,,,福田,
221,rcgs_variation_sparql_2309.csv,dimension,-,ゲーム内の表象的実体の深さや奥行きについての意図された形式や見方,,7,ゲームバリエーション,概要,"値があるときは冒頭に""次元:△""を追加する",,,,福田,
222,rcgs_variation_sparql_2309.csv,pointOfView,-,ゲーム内におけるプレイヤーが経験する視点の形式,,7,ゲームバリエーション,概要,"値があるときは冒頭に""視点:△""を追加する",,,,福田,
223,rcgs_variation_sparql_2309.csv,ending,-,エンディングの有無,,7,ゲームバリエーション,概要,"値があるときは冒頭に""エンディング:△""を追加する",,,,福田,
224,rcgs_variation_sparql_2309.csv,multipleEnding,-,マルチエンディングの有無,,7,ゲームバリエーション,概要,"値があるときは冒頭に""マルチエンディング:△""を追加する",,,,福田,
225,rcgs_variation_sparql_2309.csv,disambiguatingDescription,-,他の属性や関連で記録されないリソースの識別的特徴,,7,ゲームバリエーション,その他の識別的特徴,,,,,福田,
226,rcgs_variation_sparql_2309.csv,difficultyOption,-,選択できる難易度の段階やリスト,,7,ゲームバリエーション,概要,"値があるときは冒頭に""難易度選択:△""を追加する",,,,福田,
227,rcgs_variation_sparql_2309.csv,award,-,リソースの内容に授与された賞,,7,ゲームバリエーション,賞,,,,,福田,
228,rcgs_variation_sparql_2309.csv,abstract,-,リソースの内容の概要,,7,ゲームバリエーション,概要,,,,,福田,
229,rcgs_variation_sparql_2309.csv,postGameContents,-,エンディング後のさらなるゲームプレイのための内容の有無,,7,ゲームバリエーション,概要,"値があるときは冒頭に""ポストゲームコンテンツ:△""を追加する",,,,福田,
230,rcgs_variation_sparql_2309.csv,source,-,情報源：管理メタデータより,PACKAGE0000001|https://ja.wikipedia.org/wiki/ドンキーコング (accessed 2018/10/24),7,ゲームバリエーション,データ出典,,,,,福田,
231,rcgs_variation_sparql_2309.csv,agent,-,リソースに貢献した主体,,7,ゲームバリエーション,スタッフ名,,,,,福田,
232,rcgs_variation_sparql_2309.csv,contentType,-,リソースの形態の一般形による種別,http://rdaregistry.info/termList/RDAContentType/1008|http://rdaregistry.info/termList/RDAContentType/1023|http://rdaregistry.info/termList/RDAContentType/1012|http://rdaregistry.info/termList/RDAContentType/1020,7,ゲームバリエーション,内容種別,,,,,福田,
233,rcgs_variation_sparql_2309.csv,variationOf,-,リソースにより実現される作品,https://collection.rcgs.jp/resource/WORK0001340,7,ゲームバリエーション,ゲーム作品,該当するゲーム作品のIDに変換（メモより同定可能）,,,,福田,
234,rcgs_variation_sparql_2309.csv,embodiment,-,リソースを具体化するパッケージ,https://collection.rcgs.jp/resource/PACKAGE0000001,7,ゲームバリエーション,収録されたパッケージ,該当するゲームパッケージのIDに変換（メモより同定可能）,,,,福田,
235,,N/A,,,,7,ゲームバリエーション,ジャンル,"""ゲームバリエーション""を記録する",ゲームバリエーション,,,,
236,,N/A,-,,,7,ゲームバリエーション,サブタイプ,"""gm""を記録する",gm,,,福田,
237,rcgs_work_sparql_2309.csv,s,-,,https://collection.rcgs.jp/resource/WORK0000016,8,ゲーム作品,メモ,"""https://collection.rcgs.jp/resource/""を削除",WORK0000016,IDを記録する,,福田,
238,rcgs_work_sparql_2309.csv,rdfs_label_gcc,-,リソースの文字列構造化もしくは符号化による識別のための名称,かまいたちの夜2 監獄島のわらべ唄 (2002),8,ゲーム作品,,,,,,福田,
239,rcgs_work_sparql_2309.csv,skos_prefLabel_ja_gcc,-,リソースの優先的に用いられる日本語の名称,かまいたちの夜2 監獄島のわらべ唄,8,ゲーム作品,タイトル,,,,,福田,
240,rcgs_work_sparql_2309.csv,skos_prefLabel_en_gcc,-,リソースの優先的に用いられる英語の名称,,8,ゲーム作品,タイトル（外国語）,,,,,福田,
241,rcgs_work_sparql_2309.csv,skos_altLabel_ja_gcc,-,リソースの代替的に用いられる日本語の名称,,8,ゲーム作品,別タイトル,,,,,福田,
242,rcgs_work_sparql_2309.csv,skos_altLabel_en_gcc,-,リソースの代替的に用いられる英語の名称,,8,ゲーム作品,別タイトル（外国語）,,,,,福田,
243,rcgs_work_sparql_2309.csv,spatial,-,リソースに関する場所,,8,ゲーム作品,地理的範囲,,,,,福田,
244,rcgs_work_sparql_2309.csv,date,-,リソースに関する日付,2002,8,ゲーム作品,公開年月日,,,,,福田,
245,rcgs_work_sparql_2309.csv,description,-,リソースの内容に関する説明,,8,ゲーム作品,概要,,,,,福田,
246,rcgs_work_sparql_2309.csv,identifier,-,同じもしくは関連するリソースを示す外部の典拠の識別子,,8,ゲーム作品,外部ID,,,,,福田,
247,rcgs_work_sparql_2309.csv,closeMatch,-,レコードを作成するにあたって基準となるWikidataのレコード,https://www.wikidata.org/wiki/Q17225945,8,ゲーム作品,外部の関連リソース,,,,,福田,
248,rcgs_work_sparql_2309.csv,twitch,-,Twitchののリソースの識別子,,8,ゲーム作品,Twitch Game ID,,,,,福田,
249,rcgs_work_sparql_2309.csv,freebase,-,Freebaseのリソースの識別子,,8,ゲーム作品,Freebase ID,,,,,福田,
250,rcgs_work_sparql_2309.csv,mobyGames,-,MobyGamesのリソースの識別子,,8,ゲーム作品,Mobygames ID,,,,,福田,
251,rcgs_work_sparql_2309.csv,metacritic,-,Metacriticsのリソースの識別子,,8,ゲーム作品,Metacritic ID,,,,,福田,
252,rcgs_work_sparql_2309.csv,seeAlso,-,同じもしくは関連するリソースを示す外部のウェブサイト,,8,ゲーム作品,外部の関連リソース,,,,,福田,
253,rcgs_work_sparql_2309.csv,imdb,-,Imdbのリソースの識別子,,8,ゲーム作品,Imdb ID,,,,,福田,
254,rcgs_work_sparql_2309.csv,audience,-,リソースが想定する対象者,,8,ゲーム作品,対象者,,,,,福田,
255,rcgs_work_sparql_2309.csv,natureOfContent,-,リソースの主要なコンテンツの特性,,8,ゲーム作品,内容の性質,,,,,福田,
256,rcgs_work_sparql_2309.csv,serialNumber,-,シリアルのリソースの一部である場合の部分の指定,,8,ゲーム作品,ナンバー指示子,,,,,福田,
257,rcgs_work_sparql_2309.csv,disambiguatingDescription,-,他の属性や関連で記録されないリソースの識別的特徴,,8,ゲーム作品,その他の識別的特徴,,,,,福田,
258,rcgs_work_sparql_2309.csv,locationCreated,-,リソースの創作に関する場所,,8,ゲーム作品,出所,,,,,福田,
259,rcgs_work_sparql_2309.csv,about,-,リソースのトピック,,8,ゲーム作品,キーワード・タグ,,,,,福田,
260,rcgs_work_sparql_2309.csv,subjectOf,-,リソースを主題とするリソース,,8,ゲーム作品,,,,,,福田,
261,rcgs_work_sparql_2309.csv,gameLocation,-,ゲーム内で舞台となる場所,,8,ゲーム作品,舞台,,,,,福田,
262,rcgs_work_sparql_2309.csv,creator,-,リソースの創作に責任を持つ主体,,8,ゲーム作品,作者,,,,,福田,
263,rcgs_work_sparql_2309.csv,productionCompany,-,リソースの制作に責任を持つ団体,,8,ゲーム作品,制作企業,該当する責任主体のIDに変換（メモより同定可能）,,,,福田,
264,rcgs_work_sparql_2309.csv,relatedAgent,-,リソースに関連を持つ主体,,8,ゲーム作品,関連する主体,,,,,福田,
265,rcgs_work_sparql_2309.csv,logo,-,リソースのロゴ,,8,ゲーム作品,ロゴ,,,,,福田,
266,rcgs_work_sparql_2309.csv,relation,-,リソースに関連を持つリソース,,8,ゲーム作品,関連する作品,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
267,rcgs_work_sparql_2309.csv,isPartOf,-,リソースを論理的・物理的に部分として持つリソース,,8,ゲーム作品,関連（isPartOf）,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
268,rcgs_work_sparql_2309.csv,hasPart,-,リソースの論理的・物理的な部分であるリソース,,8,ゲーム作品,関連（hasPart）,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
269,rcgs_work_sparql_2309.csv,precedes,-,リソースに先行するリソース,,8,ゲーム作品,先行の作品,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
270,rcgs_work_sparql_2309.csv,succeeds,-,リソースに後続するリソース,,8,ゲーム作品,後続の作品,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
271,rcgs_work_sparql_2309.csv,sequelTo,-,リソースに物語上先行するリソース,,8,ゲーム作品,物語上の先行の作品,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
272,rcgs_work_sparql_2309.csv,sequel,-,リソースに物語上後続するリソース,,8,ゲーム作品,物語上の後続の作品,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
273,rcgs_work_sparql_2309.csv,remadeAs,-,リソースのリメイク元であるリソース,,8,ゲーム作品,リメイクされた作品,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
274,rcgs_work_sparql_2309.csv,complements,-,リソースの補完されたリソース,,8,ゲーム作品,保管された作品,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
275,rcgs_work_sparql_2309.csv,expandedAs,-,リソースの増補されたリソース,,8,ゲーム作品,増補された作品,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
276,rcgs_work_sparql_2309.csv,spinOff,-,リソースのスピンオフされたリソース,,8,ゲーム作品,スピンオフされた作品,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
277,rcgs_work_sparql_2309.csv,note,-,リソース識別に関する注記,,8,ゲーム作品,その他の識別的特徴,,,,,福田,
